# Entries for Object Message Types;;;;;;;;;
#;;;;;;;;;
# --- STANDARD ---;;;;;;;;;
#;;;;;;;;;
# Exchange IDs;;;;;;;;;
#;;;;;;;;;
#DM1;OBJECTMESSAGETYPE;DOMAINID;domain identifier;3;;;;;
#OMD1;OBJECTMESSAGETYPE;UID;unique identifier of the object message;7;;;;;
#OMD10;OBJECTMESSAGETYPE;STATUSTYPES;resulting status types of the object message;2;;;;;
#OMD2;OBJECTMESSAGETYPE;AREA;area of the object message;3;;;;;
#OMD20;OBJECTMESSAGETYPE;STATUSCODES;resulting status codes of the object message;2;;;;;
#OMD3;OBJECTMESSAGETYPE;WEIGHT;weight of the object message;1;;;;;
#OMD4;OBJECTMESSAGETYPE;TYPEID;type of the object message;3;;;;;   [Error] = 1        Info = 3        Attention = 2        Warning = 4
#OMD5;OBJECTMESSAGETYPE;MESSAGE;message text of the object message;3;;;;;
#OMD6;OBJECTMESSAGETYPE;DESCRIPTION;additional description and help text of the object message;10;;;;;
#OMD7;OBJECTMESSAGETYPE;ISPERSISTED;true if the messages of this type will be persisted in the log;9;;;;;
#;;;;;;;;;
# HEADER;;;;;;;;;
#;;;;;;;;;
OMD1;DM1;OMD2;OMD5;OMD6;OMD3;OMD4;OMD7;OMD20;OMD10
2600;@;SCHEDULING;schedule #%1%.%2% is faulty - no process status available. See LifeCycle status messages';;95;Error;true;|R1|R1|;|SCHEDULINGPROC|TRACKING|
2610;@;SCHEDULING;OVERDUE schedule of schedule type '%1%' - finishing milestone date ('%2%') has passed by since %3% calendar days';;95;Error;true;|R1|Y1|;|SCHEDULINGPROC|TRACKING|
2611;@;SCHEDULING;due schedule of schedule type '%1%' - finishing milestone date ('%2%') is due in latency period of %3% calendary days;;94;Warning;true;|Y1|Y1|;|SCHEDULINGPROC|TRACKING|
2612;@;SCHEDULING;due schedule of schedule type '%1%' - finishing milestone date ('%2%') will come due in latency period %3% calendary days;;94;Info;true;|Y1|Y1|;|SCHEDULINGPROC|TRACKING|
2612;@;SCHEDULING;schedule of schedule type '%1%' - %3% calendary days to go before reaching finishing milestone date ('%2%');;5;Info;true;|G1|G1|;|SCHEDULINGPROC|TRACKING|
2613;@;SCHEDULING;schedule of schedule type '%1%' - %3% calendary days to go before reaching finishing milestone date ('%2%');;5;Info;true;|G1|G1|;|SCHEDULINGPROC|TRACKING|
#;;;;;;;;;
2700;@;SCHEDULING;risk for being on-time in schedule of schedule type '%1%' which has overdue milestones';;40;Warning;true;|Y1|;|SCHEDULINGPROC|
#;;;;;;;;;
2900;@;SCHEDULING;schedule of schedule type '%1%' has started';;10;Info;true;|G1|;|SCHEDULINGPROC|
